quote,ticker
USD.SWAP3M.50Y,USSWAP50 BGN  Curncy

USD.BASIS3M6M.1Y,USBC1 BGN  Curncy
USD.BASIS3M6M.18M,USBC1F BGN  Curncy
USD.BASIS3M6M.2Y,USBC2 BGN  Curncy
USD.BASIS3M6M.3Y,USBC3 BGN  Curncy
USD.BASIS3M6M.4Y,USBC4 BGN  Curncy
USD.BASIS3M6M.5Y,USBC5 BGN  Curncy
USD.BASIS3M6M.7Y,USBC7 BGN  Curncy
USD.BASIS3M6M.10Y,USBC10 BGN  Curncy
USD.BASIS3M6M.12Y,USBC12 BGN  Curncy
USD.BASIS3M6M.15Y,USBC15 BGN  Curncy
USD.BASIS3M6M.20Y,USBC20 BGN  Curncy
USD.BASIS3M6M.25Y,USBC25 BGN  Curncy
USD.BASIS3M6M.30Y,USBC30 BGN  Curncy

USD.BASIS3M1M.3M,USBAAC BGN  Curncy
USD.BASIS3M1M.6M,USBAAF BGN  Curncy
USD.BASIS3M1M.9M,USBAAI BGN  Curncy

USD.BASIS3M1M.1Y,USBA1 BGN  Curncy
USD.BASIS3M1M.18M,USBA1F BGN  Curncy
USD.BASIS3M1M.2Y,USBA2 BGN  Curncy
USD.BASIS3M1M.3Y,USBA3 BGN  Curncy
USD.BASIS3M1M.4Y,USBA4 BGN  Curncy
USD.BASIS3M1M.5Y,USBA5 BGN  Curncy
USD.BASIS3M1M.7Y,USBA7 BGN  Curncy
USD.BASIS3M1M.10Y,USBA10 BGN  Curncy
USD.BASIS3M1M.12Y,USBA12 BGN  Curncy
USD.BASIS3M1M.15Y,USBA15 BGN  Curncy
USD.BASIS3M1M.20Y,USBA20 BGN  Curncy
USD.BASIS3M1M.25Y,USBA25 BGN  Curncy
USD.BASIS3M1M.30Y,USBA30 BGN  Curncy

USD.BASIS3MOIS.3Y,USBG3 Index
USD.BASIS3MOIS.4Y,USBG4 Index
USD.BASIS3MOIS.5Y,USBG5 Index

USD.BASIS3MOIS.10Y,USBG10 Index
USD.BASIS3MOIS.12Y,USBG12 Index
USD.BASIS3MOIS.15Y,USBG15 Index
USD.BASIS3MOIS.20Y,USBG20 Index
USD.BASIS3MOIS.30Y,USBG30 Index

SEK.ON.1D,STIB1D Index
SEK.OIS.1M,SKSWTNA CMPN Curncy
SEK.OIS.2M,SKSWTNB CMPN Curncy
SEK.OIS.3M,SKSWTNC CMPN Curncy
SEK.OIS.6M,SKSWTNF CMPN Curncy
SEK.OIS.9M,SKSWTNI CMPN Curncy
SEK.OIS.1Y,SKSWTN1 CMPN Curncy
SEK.OIS.18M,SKSWTN1F CMPN Curncy
SEK.OIS.2Y,SKSWTN2 CMPN Curncy
SEK.OIS.3Y,SKSWTN3 CMPN Curncy
SEK.OIS.4Y,SKSWTN4 CMPN Curncy
SEK.OIS.5Y,SKSWTN5 CMPN Curncy
SEK.OIS.6Y,SKSWTN6 CMPN Curncy
SEK.OIS.7Y,SKSWTN7 CMPN Curncy
SEK.OIS.8Y,SKSWTN8 CMPN Curncy
SEK.OIS.9Y,SKSWTN9 CMPN Curncy
SEK.OIS.10Y,SKSWTN10 CMPN Curncy
SEK.OIS.12Y,SKSWTN12 CMPN Curncy
SEK.OIS.15Y,SKSWTN15 CMPN Curncy
SEK.OIS.20Y,SKSWTN20 CMPN Curncy
SEK.OIS.25Y,SKSWTN25 CMPN Curncy
SEK.OIS.30Y,SKSWTN30 CMPN Curncy

HKD.DEPOSIT.3M,HIHD03M Index
HKD.FRA.3M,HDFR0CF CMPN Curncy
HKD.FRA.6M,HDFR0FI CMPN Curncy
HKD.SWAP.1Y,HDSW1 CMPN Curncy
HKD.SWAP.18M,HDSW1F CMPN Curncy
HKD.SWAP.2Y,HDSW2 CMPN Curncy
HKD.SWAP.3Y,HDSW3 CMPN Curncy
HKD.SWAP.4Y,HDSW4 CMPN Curncy
HKD.SWAP.5Y,HDSW5 CMPN Curncy
HKD.SWAP.7Y,HDSW7 CMPN Curncy
HKD.SWAP.10Y,HDSW10 CMPN Curncy
HKD.SWAP.12Y,HDSW12 CMPN Curncy
HKD.SWAP.15Y,HDSW15 CMPN Curncy

JPY.DEPOSIT.6M,JY0006M Index
JPY.FRA.1M,JYFR1/7 BGN  Curncy
JPY.FRA.2M,JYFR2/8 BGN  Curncy
JPY.FRA.3M,JYFR3/9 BGN  Curncy
JPY.FRA.4M,JYFR4/10 BGN  Curncy
JPY.FRA.5M,JYFR5/11 BGN  Curncy
JPY.FRA.6M,JYFR6/12 BGN  Curncy
JPY.SWAP.18M,JYSWAP1F BGN  Curncy
JPY.SWAP.2Y,JYSWAP2 BGN  Curncy
JPY.SWAP.3Y,JYSWAP3 BGN  Curncy
JPY.SWAP.4Y,JYSWAP4 BGN  Curncy
JPY.SWAP.5Y,JYSWAP5 BGN  Curncy
JPY.SWAP.6Y,JYSWAP6 BGN  Curncy
JPY.SWAP.7Y,JYSWAP7 BGN  Curncy
JPY.SWAP.8Y,JYSWAP8 BGN  Curncy
JPY.SWAP.9Y,JYSWAP9 BGN  Curncy
JPY.SWAP.10Y,JYSWAP10 BGN  Curncy
JPY.SWAP.12Y,JYSWAP12 BGN  Curncy
JPY.SWAP.15Y,JYSW15 BGN  Curncy
JPY.SWAP.20Y,JYSW20 BGN  Curncy
JPY.SWAP.25Y,JYSW25 BGN  Curncy
JPY.SWAP.30Y,JYSW30 BGN  Curncy
JPY.SWAP.35Y,JYSW35 BGN  Curncy
JPY.SWAP.40Y,JYSW40 BGN  Curncy

NZD.ON.1D,NZOCRS Index
NZD.OIS.1M,NDSOA CMPN Curncy
NZD.OIS.2M,NDSOB CMPN Curncy
NZD.OIS.3M,NDSOC CMPN Curncy
NZD.OIS.4M,NDSOD CMPN Curncy
NZD.OIS.5M,NDSOE CMPN Curncy
NZD.OIS.6M,NDSOF CMPN Curncy
NZD.OIS.9M,NDSOI CMPN Curncy
NZD.OIS.1Y,NDSO1 CMPN Curncy
NZD.OIS.18M,NDSO1F CMPN Curncy
NZD.OIS.2Y,NDSO2 CMPN Curncy
NZD.OIS.3Y,NDSO3 CMPN Curncy
NZD.OIS.4Y,NDSO4 CMPN Curncy
NZD.OIS.5Y,NDSO5 CMPN Curncy
NZD.OIS.6Y,NDSO6 CMPN Curncy
NZD.OIS.7Y,NDSO7 CMPN Curncy
NZD.OIS.8Y,NDSO8 CMPN Curncy
NZD.OIS.9Y,NDSO9 CMPN Curncy
NZD.OIS.10Y,NDSO10 CMPN Curncy
NZD.OIS.12Y,NDSO12 CMPN Curncy
NZD.OIS.15Y,NDSO15 CMPN Curncy
NZD.OIS.20Y,NDSO20 CMPN Curncy

SGD.DEPOSIT.6M,SORF6M Index
SGD.SWAP.1Y,SDSW1 BGN  Curncy
